지역명,가게이름,별점,리뷰갯수,사장리뷰,얼마이상,소요시간
가회동,박지후스시,★ 4.6,173,8,"16,000원 이상 배달",30분
가회동,로라방앗간-디타워점,★ 4.5,178,23,"10,000원 이상 배달",24분
가회동,와플대학-대학로점,★ 4.8,153,25,"10,000원 이상 배달",25분
가회동,창신전라도밥상,★ 4.8,106,26,"9,000원 이상 배달",34분
가회동,질할브로스-광화문점,★ 4.8,55,18,"10,000원 이상 배달",25분
가회동,밥은-직화덮밥전문점,★ 5.0,1,2,"11,000원 이상 배달",50~60분
가회동,차돌박힌쭈꾸미-종로점,★ 4.8,93,10,"11,000원 이상 배달",23분
가회동,육쌈냉면 낙원점,★ 4.9,1252,467,"12,000원 이상 배달",21분
가회동,키햐아-대학로점,★ 4.7,633,2,"12,000원 이상 배달",25분
가회동,빽다방-대학로점,★ 4.7,79,65,"8,000원 이상 배달",22분
가회동,경양카츠-종각점,★ 4.6,720,7,"13,000원 이상 배달",25분
가회동,강릉엄지네꼬막집-서대문역점,★ 4.4,189,8,"19,500원 이상 배달",29분
가회동,고가빈커리하우스,★ 5.0,33,17,"10,000원 이상 배달",23분
가회동,뚜레쥬르-카페대학로점,★ 4.8,41,373,"12,000원 이상 배달",28분
가회동,김준현의눈치떡-종로성대점,★ 4.2,41,2,"14,000원 이상 배달",35~45분
가회동,원조30년전통무교동낙지,★ 4.9,113,1,"11,000원 이상 배달",22분
가회동,피자헛-혜화점,★ 4.6,65,9,"19,900원 이상 배달",25~35분
가회동,던바스150,★ 4.9,36,983,"12,000원 이상 배달",27분
가회동,생생돈까스-종로점,★ 5.0,84,13,"13,000원 이상 배달",56~66분
가회동,버거파크-혜화점,★ 5.0,102,2,"12,200원 이상 배달",25분
가회동,대학로조선식당,★ 4.8,133,3,"12,000원 이상 배달",22분
가회동,도스타코스 종로점,★ 5.0,64,37,"10,000원 이상 배달",25분
가회동,강남면옥-정동점,★ 4.7,96,16,"20,000원 이상 배달",29분
가회동,아재커피-북촌점,★ 4.9,21,335,"7,000원 이상 배달",38~48분
가회동,코코이찌방야-대학로점,★ 4.7,21,3,"10,000원 이상 배달",25분
가회동,통큰삼겹-광화문점,★ 4.9,25,64,"12,000원 이상 배달",23분
가회동,창경궁150,★ 4.8,25,4,"10,000원 이상 배달",24분
가회동,교토스시,★ 4.9,44,27,"13,000원 이상 배달",25분
가회동,마츠노하나텐동&덮밥,★ 4.9,22,17,"12,000원 이상 배달",24분
가회동,커피내리는분식,★ 4.4,14,233,"12,000원 이상 배달",28분
가회동,짬뽕타임24-종로3가점,★ 4.4,12,10,"10,000원 이상 배달",55~65분
가회동,샐러드박스-혜화점,★ 4.6,55,4,"12,000원 이상 배달",23분
가회동,돈돈정-그랑서울점,★ 4.7,24,8,"12,000원 이상 배달",25분
가회동,살살솔트앤샐러드,★ 4.8,21,1,"14,000원 이상 배달",27분
가회동,라매자마라탕,★ 4.7,624,15,"12,000원 이상 배달",45~55분
가회동,헤비스테이크-안국역점,★ 5.0,1,15,"10,000원 이상 배달",55~65분
가회동,쇼타돈부리,★ 5.0,6,10,"9,000원 이상 배달",24분
가회동,돈텐동식당-대학로본점,★ 4.7,33,7,"9,000원 이상 배달",23분
가회동,반포식스-대학로점,★ 4.9,101,1,"12,000원 이상 배달",55~65분
가회동,원당감자탕-인사동점,★ 4.5,6,1,"13,000원 이상 배달",24분
가회동,스윗밸런스-광화문점,★ 4.6,17,335,"10,000원 이상 배달",22분
가회동,토속집,★ 4.4,630,4,"13,000원 이상 배달",23분
가회동,서울왕돈까스-성북동본점,★ 5.0,31,1,"13,000원 이상 배달",25분
가회동,마포만두-시청점,★ 5.0,28,100,"9,000원 이상 배달",24분
가회동,반가불고기,★ 4.7,3,238,"10,900원 이상 배달",29분
가회동,재팔이네닭발-대학로점,★ 4.9,24,307,"13,000원 이상 배달",25분
가회동,아틀리에송,★ 4.8,371,902,"12,000원 이상 배달",25분
가회동,이명근떡볶이,★ 4.9,18,8,"12,800원 이상 배달",30분
가회동,LUSCIOUSSCOOPS러셔스스쿱스-대학로점,★ 4.8,5,3,"13,000원 이상 배달",23분
가회동,부탄츄-대학로점,★ 4.7,7,205,"12,000원 이상 배달",55~65분
가회동,불닭발동대문엽기떡볶이-종각점,★ 5.0,18,1,"14,000원 이상 배달",55~65분
가회동,뜸들이다-광화문점,★ 4.8,2251,15,"8,700원 이상 배달",21분
가회동,101번지남산돈까스-안녕인사동점,★ 4.6,33,199,"11,000원 이상 배달",22분
가회동,남도분식-익선점,★ 5.0,2,33,"12,000원 이상 배달",25분
가회동,미분당-대학로점,★ 4.9,13,186,"12,000원 이상 배달",20분
가회동,애정훠궈-성신여대본점,★ 4.8,768,3,"13,000원 이상 배달",31분
가회동,순대실록-대학로본점,★ 5.0,7,250,"15,000원 이상 배달",30분
가회동,백종원의미정국수&컵밥-안국역점,★ 4.8,38,75,"10,000원 이상 배달",21분
가회동,알로이막막,★ 5.0,4,78,"13,000원 이상 배달",23분
가회동,코코버블티-대학로점,★ 4.3,18,76,"11,000원 이상 배달",21분
가회동,머노까머나-대학로점,★ 4.1,19,222,"12,000원 이상 배달",25분
가회동,큰맘할매순대국-창신역점,★ 4.1,7,111,"15,000원 이상 배달",55~65분
가회동,취천루,★ 4.9,335,177,"13,000원 이상 배달",23분
가회동,CGV피카디리,★ 4.3,10,18,"10,000원 이상 배달",25분
가회동,혜화달손만두&만두전골,★ 4.9,10,17,"13,000원 이상 배달",23분
가회동,봉구스밥버거-한성대점,★ 4.3,3,9,"10,000원 이상 배달",27분
가회동,우주라이크커피-독립문역점,★ 5.0,3,3,"10,000원 이상 배달",30분
가회동,가장맛있는족발-낙원점,★ 4.9,65,104,"13,000원 이상 배달",24분
가회동,오는정쪽갈비,★ 5.0,20,668,"13,000원 이상 배달",24분
가회동,서촌아성,★ 5.0,2,18,"13,000원 이상 배달",25분
가회동,운현궁설렁탕,★ 4.2,18,275,"10,000원 이상 배달",20분
가회동,삼청동순대국&추어탕,★ 4.5,40,192,"9,000원 이상 배달",20분
가회동,만복식당-성신여대점,★ 5.0,10,558,"8,900원 이상 배달",33분
가회동,니로사레스토랑인도요리,★ 4.0,3,25,"12,000원 이상 배달",25분
가회동,박광일참치,★ 4.6,603,2,"12,000원 이상 배달",22분
가회동,신장군마라탕-성대점,★ 4.9,7,186,"12,000원 이상 배달",25분
가회동,빅스트로우버블티-북촌점,★ 4.9,57,104,"8,000원 이상 배달",24분
가회동,본도시락-종로구청점,★ 4.5,34,353,"20,000원 이상 배달",45~55분
가회동,엔제리너스-센트로폴리스점,★ 5.0,8,52,"10,000원 이상 배달",55~65분
가회동,츄로101-삼청점,★ 4.9,233,286,"5,000원 이상 배달",23분
가회동,진공푸,★ 4.8,19,48,"12,000원 이상 배달",25분
가회동,버거웍스-혜화점,★ 4.7,125,133,"13,000원 이상 배달",25분
가회동,마라중독마라탕&훠궈,★ 4.8,19,38,"12,000원 이상 배달",30~40분
가회동,베트남쌀국수미스사이공-대학로마로니에공원점,★ 4.8,11,60,"11,500원 이상 배달",24분
가회동,교동전선생-종로구청점,★ 4.8,6,사장님 리뷰가 없어요,"13,000원 이상 배달",24분
가회동,신전떡볶이-퇴계로점,★ 3.8,5,사장님 리뷰가 없어요,"9,000원 이상 배달",32분
가회동,서촌그리들,★ 4.7,17,사장님 리뷰가 없어요,"13,000원 이상 배달",25분
가회동,계동107-안국역점,★ 4.6,16,사장님 리뷰가 없어요,"2,500원 이상 배달",20분
가회동,서촌그릭,★ 4.8,26,사장님 리뷰가 없어요,"12,000원 이상 배달",28분
가회동,얌샘김밥-종로YMCA점,★ 4.8,10,사장님 리뷰가 없어요,"12,000원 이상 배달",50~60분
가회동,소국밥-광화문점,★ 4.5,2,사장님 리뷰가 없어요,"12,000원 이상 배달",24분
가회동,인사동쭈꾸미,★ 4.8,327,사장님 리뷰가 없어요,"10,000원 이상 배달",22분
가회동,청년피자-종로점,★ 5.0,175,사장님 리뷰가 없어요,"14,900원 이상 배달",38~48분
가회동,투썸플레이스-혜화로타리점,★ 4.3,12,사장님 리뷰가 없어요,"12,000원 이상 배달",45~55분
가회동,토끼정-대학로점,★ 4.9,557,사장님 리뷰가 없어요,"15,000원 이상 배달",28분
가회동,홀드미커피,★ 4.0,4,사장님 리뷰가 없어요,"8,000원 이상 배달",24분
가회동,로라방앗간-안녕인사동점,★ 5.0,15,사장님 리뷰가 없어요,"11,000원 이상 배달",40~50분
가회동,The진한나주곰탕1인용-대학로점,★ 4.3,4,사장님 리뷰가 없어요,"13,000원 이상 배달",45~55분
가회동,순남시래기-삼청점,★ 4.9,401,사장님 리뷰가 없어요,"13,000원 이상 배달",20분
가회동,산하삼계탕&전골,★ 5.0,3,사장님 리뷰가 없어요,"15,000원 이상 배달",28분
가회동,카페얼티밋,★ 4.6,689,사장님 리뷰가 없어요,"12,000원 이상 배달",24분
가회동,토방손칼국수&닭도리탕,★ 4.0,927,사장님 리뷰가 없어요,"12,000원 이상 배달",31분
가회동,시티델리-광화문점,★ 4.7,308,사장님 리뷰가 없어요,"12,000원 이상 배달",45~55분
가회동,꼬꼬시티익선닭집,★ 4.8,916,사장님 리뷰가 없어요,"10,000원 이상 배달",25분
가회동,묵호횟집,★ 4.4,14,사장님 리뷰가 없어요,"10,000원 이상 배달",55~65분
가회동,소풍뽕잎김밥,★ 5.0,4,사장님 리뷰가 없어요,"10,000원 이상 배달",22분
가회동,엠알디,★ 4.8,762,사장님 리뷰가 없어요,"12,000원 이상 배달",22분
가회동,버블고래,★ 4.9,263,사장님 리뷰가 없어요,"10,000원 이상 배달",25분
가회동,신의주부대찌개-비원점,★ 5.0,2,사장님 리뷰가 없어요,"13,000원 이상 배달",21분
가회동,더치앤빈-안국역점,★ 5.0,2,사장님 리뷰가 없어요,"9,000원 이상 배달",25~35분
가회동,아미소,★ 4.6,386,사장님 리뷰가 없어요,"20,000원 이상 배달",30분
가회동,PB델리-성대명륜점,★ 4.7,3,사장님 리뷰가 없어요,"11,000원 이상 배달",85~95분
가회동,PB델리-종로세무서점,★ 5.0,2,사장님 리뷰가 없어요,"11,000원 이상 배달",45~55분
가회동,도미노피자-세종로점,★ 4.9,184,사장님 리뷰가 없어요,"21,900원 이상 배달",35~45분
가회동,카페루아흐,★ 4.7,297,사장님 리뷰가 없어요,"12,000원 이상 배달",20분
가회동,카페명장지가,★ 4.8,375,사장님 리뷰가 없어요,"8,000원 이상 배달",25분
가회동,뜸들이다-대학로점,★ 4.7,165,사장님 리뷰가 없어요,"8,000원 이상 배달",45~55분
가회동,펠어커피-성신여대점,★ 4.9,186,사장님 리뷰가 없어요,"10,000원 이상 배달",27분
가회동,오늘은카레-종로점,★ 5.0,3,사장님 리뷰가 없어요,"12,000원 이상 배달",55~65분
가회동,두마리찜닭두찜-종로혜화점,★ 4.3,6,사장님 리뷰가 없어요,"15,800원 이상 배달",57~67분
가회동,PB델리-경복궁역점,★ 4.7,388,사장님 리뷰가 없어요,"11,000원 이상 배달",44~54분
가회동,파스타마켓-대학로점,★ 4.9,75,사장님 리뷰가 없어요,"12,000원 이상 배달",26분
가회동,정성이가득찬집밥-대학로점,★ 4.7,81,사장님 리뷰가 없어요,"12,000원 이상 배달",44~54분
가회동,돈까스광장,★ 2.0,1,사장님 리뷰가 없어요,"10,000원 이상 배달",25분
가회동,보통의,★ 4.8,282,사장님 리뷰가 없어요,"12,000원 이상 배달",24분
가회동,족선생-한성대점,★ 4.8,164,사장님 리뷰가 없어요,"18,000원 이상 배달",48~58분
가회동,이밥-계동점,★ 4.5,358,사장님 리뷰가 없어요,"12,000원 이상 배달",45~55분
가회동,웍불로입힌직화직영전문점진짜루,★ 4.9,224,사장님 리뷰가 없어요,"10,000원 이상 배달",28분
